time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.5001025752031575e-07,8.968228508598851e-07,10.006004135807416,0.0006053477915317629,0.00014132365604968555,0.0,-1.3692554554115623e-05,7.136453961678892e-05,0.20012333700745166,0.025041925693430778,0.006693197536617699,0.0,467.9033597303912,468.42400321913607,466.0398754440712,467.99268578723553
0.12000000000000001,-6.0001509158885415e-06,2.617645113176323e-05,10.023994285845392,0.0022154704735513064,0.00022453467822813877,0.0,-0.00021307100441021807,0.0009531729252824818,0.39949901818780187,0.030200071021711558,-0.0122018997693387,0.0,468.04012637271546,466.5674827428556,467.3608416408098,467.76275669987854
0.18,-2.0874095931536946e-05,0.00013861705243770148,10.05183041880126,0.004332180347177861,6.282852225183795,0.0,-0.00021477825804190473,0.003005137845534607,0.5283201375417299,0.043875005197645284,-0.004033072476840304,0.0,445.33471677209377,446.00240812633564,446.05275431157713,447.16846282418425
0.23999999999999996,-2.6029654510054404e-05,0.0004180836672907515,10.086445045846679,0.00696684246799073,6.282662793761297,0.0,6.476461533992466e-05,0.006577706234409189,0.6254506834227785,0.04398297702062075,-0.0014604709597406313,0.0,436.0950739437014,436.3099388878196,436.39064337353875,436.4007818142488
0.3,-1.107960299101837e-05,0.00096772330123442,10.127110798884834,0.009479333081996444,6.282115014855622,0.0,0.00045791753621506233,0.012008016431249519,0.7300108420917836,0.03728609543731565,-0.03249272198326546,0.0,439.96601824376563,437.389586690327,439.1427372720083,438.58792555607135
0.36000000000000004,4.739853827280221e-05,0.0019018131473339498,10.17484992406433,0.011623272886551739,6.279910992420746,0.0,0.001710807139816712,0.019361176228968782,0.861200398726675,0.03242892882403048,-0.04695677007509509,0.0,448.19827784389366,447.02068475205215,447.11262386975943,446.7173402627112
0.4200000000000001,0.0002351189062496985,0.003337321233273848,10.231712934873254,0.01317257281520412,6.2780967525195095,0.0,0.004793610882463991,0.028690377128906666,1.0340890611383469,0.007380690004627762,-0.008883555369128155,0.0,458.5365310656043,461.5502639730278,461.41032141277185,459.4289514236565
0.48000000000000015,0.0006272077564749867,0.005326603424727853,10.296309144475487,0.013608996863322176,6.277036952539234,0.0,0.00834239671061169,0.03766177992927334,1.1190371972021314,0.0070589542791111536,-0.04791676274815071,0.0,435.0427836972444,431.76233531548297,433.0291410992536,433.00196840578644
0.5400000000000001,0.0012716858546965011,0.007881654675823406,10.36732217845699,0.014555309057731947,6.273972363633849,0.0,0.013454013491212419,0.04758178127218403,1.2479283170815254,0.029135665113439627,-0.05829011351346862,0.0,447.66372944919243,446.81725371373426,446.3804663550684,448.1781376417535
0.6000000000000002,0.0022904984088140934,0.011056111370298827,10.44601971696408,0.01594730320898563,6.2707168385801495,0.0,0.020861936864789217,0.05840179978945321,1.3751717164293342,0.007388818473451322,-0.047220136982100716,0.0,447.03848149333004,447.9375348492201,447.4982649497354,445.7247706187966
0.6600000000000003,0.003866190102840629,0.014962561154603097,10.535864678638841,0.017363212651261506,6.268418611747698,0.0,0.03196829564472285,0.07193675891157587,1.6193403316584503,0.044524034314839256,-0.024700884199789355,0.0,481.31221660089864,483.0126441812703,481.1417627493905,483.94482303448007
0.7200000000000003,0.0061989151889752635,0.01977078070875525,10.642919472230732,0.02006212889629566,6.266710232046599,0.0,0.04599665058185438,0.08869305737234519,1.9486408623611904,0.045882103817579935,-0.037349034340887675,0.0,507.5124865961372,506.60379189501947,506.8079687083369,506.90645539415135
0.7800000000000004,0.009295809251571254,0.025503608861186574,10.762131193349463,0.023483119609132963,6.264432842680884,0.0,0.05745337580398759,0.10270836334017912,2.0249394064469053,0.07310318849471437,-0.03919963344203337,0.0,433.01442399192644,432.85799018369,432.1789396376294,434.46928793443425
0.8400000000000004,0.013239490385916855,0.03229442471376679,10.891831484501783,0.02788559889935982,6.261745622375944,0.0,0.07431000377546802,0.1242000633447706,2.297874021989978,0.073911839875426,-0.059336812749758786,0.0,494.03388345251227,492.5459173744693,491.87169841421417,491.9351945974368
0.9000000000000005,0.018111663247868538,0.04028367992920851,11.030747449109054,0.03270489484877359,6.257931297502877,0.0,0.08843308422762827,0.1425353705400251,2.332565043169259,0.09076674997738393,-0.073775194548094,0.0,421.63298359494064,420.3804857719424,420.4062650029104,421.8695899067106
0.9600000000000005,0.024017902891121944,0.04961157649309227,11.176045599975728,0.03767493924925791,6.253199955967926,0.0,0.10894853522448755,0.16898222491772166,2.510295005136525,0.058076971078907004,-0.09168122940682308,0.0,467.29235963987867,465.88968795331624,467.1370053275916,464.5859005229772
1.0200000000000005,0.031147856038144538,0.060482737229033565,11.328112327164028,0.040874220582621135,6.247551511285366,0.0,0.1292387602985075,0.1937018047776739,2.5584556341963687,0.04153360989213786,-0.09957509974058519,0.0,427.0132664598864,426.3313877181135,427.2937867587418,425.88310479382443
1.0800000000000005,0.03976173969502182,0.07307091616516222,11.487328491555273,0.042986595490724255,6.2415463036662295,0.0,0.15856523362834699,0.22615477237752105,2.7482693557740747,0.017900274280740272,-0.10112949156759507,0.0,470.9249017367532,470.79662775369235,472.00668008759027,470.17973162908623
1.1400000000000006,0.050368924143308964,0.08774388975852591,11.660118747602068,0.04365482718071956,6.236082031685861,0.0,0.19569964231205111,0.26303012544588766,3.0107076360679095,-0.007963887227741738,-0.07616166314331993,0.0,492.51343743346314,494.3502294396977,493.49263687746287,491.57974139554557
